"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN"
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_FRSTN","+","Forest area as a proportion of total land area","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","0.00","NA, 2, 54","","","","","","","","","0.00","NA, 7, 54","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_TOTL","+","Forest area as a proportion of total land area","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","5.52","C, 2, 55","5.52","C, 3, 55","5.52","C, 4, 55","5.52","C, 5, 55","34.98","C, 6, 55","34.98","C, 7, 55","34.98","C, 8, 55","34.98","C, 9, 55","34.98","C, 10, 55","34.98","C, 11, 55","34.98","C, 12, 55","34.98","C, 13, 55","34.98","C, 14, 55"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","5.52","C, 2, 55","5.52","C, 3, 55","5.52","C, 4, 55","5.52","C, 5, 55","34.98","C, 6, 55","34.98","C, 7, 55","34.98","C, 8, 55","34.98","C, 9, 55","34.98","C, 10, 55","34.98","C, 11, 55","34.98","C, 12, 55","34.98","C, 13, 55","34.98","C, 14, 55"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","5.52","C, 2, 55","5.52","C, 3, 55","5.52","C, 4, 55","5.52","C, 5, 55","34.98","C, 6, 55","34.98","C, 7, 55","34.98","C, 8, 55","34.98","C, 9, 55","34.98","C, 10, 55","34.98","C, 11, 55","34.98","C, 12, 55","34.98","C, 13, 55","34.98","C, 14, 55"
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTBIOM","+","Above-ground biomass in forest","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Millions","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTBIOPHA","+","Above-ground biomass in forest per hectare","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Tonnes per hectare","Millions","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTCERT","SD","Proportion of forest area certified under an independently verified certification scheme","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54, 62","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTPRCT","+","Proportion of forest area within legally established protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTPRCTN","+","Forest area within legally established protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Thousands","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
