"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_LSC_TRTCHRTCH","SD","Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","79.86","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_LSC_TRTCHRTCH","SD","Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","90.55","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRE_TRTCHRTCH","SD","Proportion of teachers in pre-primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","","","","","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","66.67","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRE_TRTCHRTCH","SD","Proportion of teachers in pre-primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","","","","","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","66.67","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRM_TRTCHRTCH","SD","Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","75.57","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRM_TRTCHRTCH","SD","Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","75.00","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRM_TRTCHRTCH","SD","Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","80.00","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_USC_TRTCHRTCH","SD","Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","77.95","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_USC_TRTCHRTCH","SD","Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","71.54","C, 22, 57","100.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_USC_TRTCHRTCH","SD","Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","73.68","C, 22, 57","100.00","C, 23, 57","","","",""
