"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","0.00","E, 11, 47, 116","5.00","E, 12, 47, 116","7.40","E, 13, 47, 116","2.40","E, 14, 47, 116","4.70","E, 15, 47, 116","0.00","E, 16, 47, 116","2.30","E, 17, 47, 116","9.10","E, 18, 47, 116","11.00","E, 19, 47, 116","8.90","E, 20, 47, 116","4.40","E, 21, 47, 116","2.20","E, 22, 47, 116","4.30","E, 23, 47, 116","0.00","E, 24, 47, 116","15.00","E, 25, 47, 116","5.10","E, 26, 47, 116","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","4.30","E, 12, 47, 116","6.30","E, 13, 47, 116","2.10","E, 14, 47, 116","4.10","E, 15, 47, 116","","","2.00","E, 17, 47, 116","7.80","E, 18, 47, 116","9.70","E, 19, 47, 116","7.60","E, 20, 47, 116","3.80","E, 21, 47, 116","1.90","E, 22, 47, 116","3.70","E, 23, 47, 116","","","13.00","E, 25, 47, 116","4.40","E, 26, 47, 116","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","5.70","E, 12, 47, 116","8.50","E, 13, 47, 116","2.80","E, 14, 47, 116","5.50","E, 15, 47, 116","","","2.70","E, 17, 47, 116","11.00","E, 18, 47, 116","13.00","E, 19, 47, 116","10.00","E, 20, 47, 116","5.10","E, 21, 47, 116","2.50","E, 22, 47, 116","4.90","E, 23, 47, 116","","","17.00","E, 25, 47, 116","5.90","E, 26, 47, 116","",""
"3","3.3","3.3.5","C030305","Number of people requiring interventions against neglected tropical diseases","SH_TRP_INTVN","SD","Number of people requiring interventions against neglected tropical diseases","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518.00","CA, 21, 48, 117","518.00","CA, 22, 48, 117","463.00","CA, 23, 48, 117","100.00","CA, 24, 48, 117","75.00","CA, 25, 48, 117","2.00","CA, 26, 48, 117","",""
"3","3.5","3.5.2","C030502","Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","SH_ALC_CONSPT","SD","Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Litres pure alcohol","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.90","E, 27, 49"
"3","3.6","3.6.1","C030601","Death rate due to road traffic injuries","SH_STA_TRAF","SD","Death rate due to road traffic injuries","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","13.20","E, 11, 50","13.00","E, 12, 50","12.80","E, 13, 50","12.60","E, 14, 50","12.40","E, 15, 50","12.20","E, 16, 50","12.00","E, 17, 50","11.90","E, 18, 50","11.70","E, 19, 50","11.60","E, 20, 50","11.50","E, 21, 50","17.00","E, 22, 50","16.80","E, 23, 50","16.60","E, 24, 50","","","","","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","85.60","C, 11, 51","74.10","C, 12, 51","","","","","","","","","","","46.10","C, 18, 51","","","","","","","","","","","","","","","","","",""
"3","3.9","3.9.2","C030902","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","SH_STA_WASH","SD","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90","E, 23, 52","","","","","","","",""
"3","3.b","3.b.2","C030b02","Total net official development assistance to medical research and basic health sectors","DC_TOF_HLTHL","SD","Total gross official disbursements for medical research and basic heath sectors, by recipient","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","","","","","1.68","NA, 13, 115","0.02","NA, 14, 115","","","","","","","","","","","0.03","NA, 20, 115","","","","","","","","","","","","","",""
"3","3.c","3.c.1","C030c01","Health worker density and distribution","SH_MED_DENTSTY","+","Health worker density of dentistry personnel per 1,000 population","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","0.33","C, 12, 53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
